"Bemerkungen";"Buehnenbildmodell";"Buehnenbildner";"Buehnenbildrelief";"Masse";"Massstab";"RepertorienID";"Schachtel";"Schauplatz";"Signatur";"Standort";"Theaterbaumodell";"Versicherungswert"
;;"Werner Hutterli";;"54 x 56 x 112";;"30010198006051";;;"1980.006";"6-Ausstellung STS";"x";5000
;;"Herbert Wernicke";;"55 x 89 x 54";;"40030199712311";;;"1997.001";"7-Ausstellung STS";;5000
;;"Toni Businger";;"53 x 95 x 80";;"80010197606161";;;"1976.006";"4-Ausstellung STS";;3500
;"x";"Ruodi Barth";;"26 x 49 x 55";;"80020196902201";;;"1969.001";"7-3-vm";;1500
;"x";"Andreas Tschui";;"23 x 31 x 29";;"25010199302271";"2000:09";;"1999.019";"Aussenlager Hodlerstrasse Raum B Q-3-H";;1000
;"x";"Andreas Tschui";;;;"84020199509291";"2000:12";;"1999.021";"Aussenlager Hodlerstrasse Raum B Q-3-H";;2000
;;"Peter Bissegger";;"18 x 32 x 30";"1 : 25";"84020198911301";;;"1989.001";"9-8-vo";;1000
"Aus ausstellungstechnischen Gründen eineinhalbfach vergrösserter Nachbau duch Martin Dreier (Ausstellung «Heureka», Zürich 1991)

";;"Peter Bissegger";;"26 x 46 x 46";"1 : 16 2/3";"84020198911301";;;"1989.002";"9-8-v";;1500
;"x";"Kony Müller";;"32 x 43 x 47";"1 : 20";"84020197610251";;;"1976.002";;;2000
;"x";"Kony Müller";;"32 x 43 x 47";"1 : 20";"84020197610251";;"Menagerie Himmelmeier";"1976.003";;;2000
;"x";"Kony Müller";;"32 x 43 x 47";"1 : 20";"84020197610251";;"Kinderzirkus in der leeren Scheune";"1976.004";;;2000
;"x";"Kony Müller";;"32 x 43 x 47";"1 : 20";"84020197610251";;"Scapin";"1976.005";;;2000
;"x";"Kony Müller";;"25 x 40 x 43";;"84020197710261";;;"1977.001";;;2000
;;"Manfred Schröter";;;;"30010198201241";;;"1982.003";;;3000
;"x";"Bernard Arnould";;;;"00010199104131";;;"1987.007";;;
;"x";"Manfred Schröter";;"47 x 83 x 66";;"30010198201151";;;"1982.002";"9-1-v";;3500
;"x";"Andreas Tschui";;"51 x 105 x 51";;"00010199111261";;;"1987.006";"Aussenlager Hodlerstrasse Raum B Q-2-V";;3000
;"x";"Jean-Claude Maret";;"57 x 89 x 62";;"30010198809241";;;"1988.034";"Aussenlager Hodlerstrasse Raum B Q-2-V";;3000
;"x";"Manfred Schröter";;"33 x 62 x 62";;"30010198101161";;;"1981.002";"Aussenlager Hodlerstrasse Raum B Q-3-H";;
"""Ausgelagert (Bahnstrasse) 11.5.09 "" : bei Inventur Aug. 2012 im Aussenlager Hodlerstrasse nicht gefunden";"x";"Manfred Schröter";;;;"30010198003141";;;"1980.008";;;
;"x";"Manfred Schröter";;;;"300011980050401";;;"1980.007";;;
;"x";"Manfred Schröter";;;;"300011981050301";;;"1981.003";;;
"Drehbühne. Total 6 Fotografien auf 2 Datensätze verteilt";"x";"Max Bignens";;"38 x 55 x 55";;"30010194509051";;"(Fortsetzung)";"1900.094-1";"7-6-vo";;2000
"Bild provisorisch!";"x";"Max Röthlisberger";;;;"800011969110801";;;"1969.003";"Aussenlager Hodlerstrasse Raum B Q-1";;
;"x";"Max Röthlisberger";;;;"800011978100101";;;"1978.001";"Aussenlager Hodlerstrasse Raum B Q-1";;
