ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_30103,Musicateatro,Teatro Antonin Artaud; TAA Musicateatro; Teatro Antonin Artaud; Compagnia Michel Poletti,,"Poletti, Michel ; Poletti, Michèle u.a.","Cadenazzo <früher: Lugano, Ascona>",,"Ascona: Teatro Antonin Artaud <siehe auch 1973-1985 Lugano: Teatro Antonin Artaud, Piccolo Teatro di Lugano> <siehe auch Lugano: Festival Internazionale delle Marionette, 1979ff.>",TI,CH,www.musicateatro.net,,TASI         Unima,,a,(1969)-,,,,,1 C (Lugano)  1 C (Ascona),(1973)-(1985)   1984-
AC_30104,Figurentheater Luzerner Theater,,,x,Luzern,,Luzern: Luzerner Theater <1986-1993 siehe auch Luzern: Puppentheater des Stadttheaters),LU,CH,www.luzernertheater.ch,,SBV,,a,,Puppentheater des Stadttheaters,,,,x + 1 C (Puppentheater des Stadttheaters),"x (siehe: Luzerner Theater) + (1986), 1987, 1990-(1993) (Puppentheater des Stadttheaters)"
AC_30105,Figurentheater Petruschka,,,"Hofer, Marianne + Hofer, Robert + Hildebrand Isler, Nathalie",Luzern,,Luzern,LU,CH,www.kinderkultur.ch/figurentheater_petruschka.html,,x,,a,?,,,,,1 C,"(2008), 2015"
AC_30106,Marionetten-Bühne Luzern?,,,?,Luzern,,Luzern,LU,CH,x,,x,,na,?,,,,,1 C,"(1944), 1950, (1951)"
AC_30107,Puppenbühne Colorello,,,"Unternährer, Annelis + Degonda, Daniela + Vogelbacher, Charles",Luzern,,Luzern,LU,CH,x,,x,,a,?,,,,,x,x
AC_30108,Puppenbühne Taubenhaus,,,?,Luzern (Reussbühl),,Luzern,LU,CH,x,,x,,a,?,,,,,x,x
AC_30109,zwergenHAFT,,Masken- und Figurentheater,"Boog, Patrick & Huber, Alexander",Luzern,,Luzern,LU,CH,www.zwergenhaft.ch,,Unima,,a,2001-,,,,,1 C,(2008)-
AC_30110,Figurentheater Lirum-Larum,,,"Stürm-Frei, Anita",Männedorf,,"Stürm-Frei, Anita",ZH,CH,www.anita-stuerm-frei.ch,,x,,a,,,,,,,
AC_30111,Théâtre Couleurs d’ombres,,,"Vachoud ,Christine",Mauborget,,Mauborget,VD,CH,www.couleursdombres.ch,,Unima     KTV,,a,?,,,,,x,x
AC_30112,Puppenbühne Rägäbogä,,,"Stucky, Astrid + Forlin, Romy",Sargans und Mels,,Mels,SG,CH,?,,x,,a ,(noch existent?),,,,,3 R <Sammelcouvert> (Mels),"(1993), (1994) (Mels)"
AC_30113,Marionettenbühne Pulcinella,,,"Limacher, Theresa",Menziken,,Menziken,AG,CH,www.pulcinella.li,,Unima,,a,1997-,,,,,1 R <Sammelcouvert>,(2002)-(2002)
AC_30114,Figurentheater PhiloThea,,,"Langenegger, Nicole",Mogelsberg,,Nassen: Figurentheater PhiloThea,SG,CH,www.philothea.ch,,assitej    KTV Unima,,a,2005-,Puppentheater Störgeli,,,,3 R <Sammelcouvert>,"(2005), 2006, 2015"
AC_30115,Figurentheater RUI,,,"Rui, Gerda",Mörigen,,?,BE,CH,x,,Unima,,a,?,,,,,x,x
AC_30116,Baobab Théâtre,Association Baobab Théâtre,,"Belleux, Cendrine + Skates, Christian",Morges,,Morges,VS,CH,x,,assitej      KTV,,a,?,,,,,x,x
AC_30117,Chasperlibühni Thery,,,"Ryser, Theophil + Ryser, Nina + Ryser, Ilona + Ryser, Silva + Passuco, Michele",Münsingen,,?,BE,CH,x,,x,,a,?,,,,,x,x
AC_30118,Figurentheater Gschichtechäschtli,,,"Beg-Schneider, Myriam",Muri AG,,Muri AG,AG,CH,x,,Unima,,a,?,,,,,x,x
AC_30119,Cello und sein Ensemble,,,?,Nassen,,?,SG,CH,x,,x,,a,?,,,,,x,x
AC_30120,Puppentheater Störgeli,,,"Langenegger, Nicole + Zwahlen, Cello",Nassen,,"Zwahlen, Cello",SG,CH,x,,x,,na,?,,PhiloThea,,,9 R <Sammelcouvert>,(2000)-(2004)
AC_30121,Compagnie de la Poudrière,,,"Baudin, Yves + Grandjean, Corinne u.a.",Neuchâtel,,Neuchâtel,NE,CH,www.theatre-poudriere.ch/la-compagnie,,x,,a,1975-,,,,,1 C,(1981)-
AC_30122,Les Ateliers de Sophie,,,"Reinmann, Sophie",Neuchâtel,,Neuchâtel,NE,CH,www.lesateliersdesophie.ch,,Unima,,a,?,,,,,x,x
AC_30123,Marionettenbühne Marlis,,,"Fuhrimann, Marlis u.a.",Oberburg,,Oberburg,BE,CH,x,,x,,a,?,,,,,4 R <Sammelcouvert>,"(1997), 2000, (2001)"
AC_30124,Fadenquintett,,,?,Oberhasli,,Oberhasli,ZH,CH,x,,x,,a,(noch existent?),,,,,x,x
AC_30125,FigurenTheater SternenKind,,,"Thierer, Katharina",Obfelden,,?,ZH,CH,http://figurentheater-sternenkind.blogspot.ch,,assitej Unima,,a,1997-,,,,,x,x
AC_30126,Marionettenbühne Oetwil,Marionettengruppe Oetwil,,?,Oetwil a. d. Limmat,,Oetwil a. d. Limmat,ZH,CH,x,,x,,a,(noch existent?),,,,,2 R <Sammelcouvert>,"(1986), (1987)"
AC_30127,Looslis Puppentheater,Looslis Marionettentheater,,"Lossli, Peter W. + Loosli ,Tobias",Ottikon,,"Loosli, Peter W. + Loosli, Tobias",ZH,CH,www.looslispuppentheater.ch,,KTV Unima,,a,?,,,,,,
AC_30128,Rapperswiler Marionetten,,,?,Rapperswil-Jona SG,,Rapperswil SG,SG,CH,www.rapperswilermarionetten.ch,,x,,a,?,,,,,1 R <Sammelcouvert>,(1986)-
AC_30129,Figurentheater Vagabu,,,"Schuppli-Delpy, Christian + Schuppli-Delpy, Maya",Riehen,,Riehen,BS,CH,www.vagabu.ch,,assitej      KTV Unima,,a,1978-,,,,,1 C,(1981)-
AC_30130,Tösstaler Marionetten,,,"Bühlmann, Werner + Tchenar, Kathrin + Amstutz, Mariann + Stadelmann, Silvia + Egli-Klingler, Ursula + Roth, Lukas",Rikon im Tösstal,,"Bühlmann, Werner, auch unter: Rikon: Puppentheater Werner Bühlmann",ZH,CH,www.toesstaler-marionetten.ch/,,Unima    KTV,,a,?,"Figurentheater Werner Bühlmann, Puppentheater Werner Bühlmann",,,,1 C,(1986)-
AC_30131,Ul Suu in Cadrega,,,?,San Pietro,,San Pietro,TI,CH,x,,x,,a,?,,,,,x,x
AC_30132,Kasperlitheater,,Sargans,?,Sargans,,Sargans,SG,CH,x,,x,,a,?,,,,,x,x
AC_30133,"Koffertheater ""teatro stucchini""",,,"Stucky, Astrid",Sargans,,Sargans,SG,CH,www.koffertheater.ch,,Unima,,a,?,,,,,x,x
AC_30134,Compagnie Amarante,Théâtre de marionnettes Amarante,,"Andreae, Pascaline",Savigny,,Savigny,VD,CH,http://amarante.ch,,Unima,,a,2004-,,,,,x,x
AC_30135,Schaffhauser Marionetten,,,"Ammann, Hermann + Ammann-Chénier, Monique",Schaffhausen,,?,SH,CH,x,,x,,na,1986-2006,,,,,9 R <Sammelcouvert>,(1983)-
AC_30136,Figurentheater Finderill,,,"Hatt-Urscheler, Madlen",Schlieren,,Schlieren,ZH,CH,www.finderill.ch,,Unima,,a,?,,,,,x,x
