ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFLS_54,Heidi Freilichtspiele,,,x,Maienfeld,,Maienfeld (ZSV),GR,CH,www.heidifreilichtspiele.ch,,x,,a,2004-,,,,,x,x
EFLS_55,Parktheater Meilen,,,x,Meilen,,Meilen,ZH,CH,x,,,,a,?,,,,,7 R <Sammelcouvert>,"(1958), 1963, 1964, 1985, 1989"
EFLS_56,Openair Musical,,,x,Melide,,Melide,TI,CH,https://musicalmelide.ch,,x,,a,?,,,,,4 R <Sammelcouvert>,(2016)-
EFLS_57,Mettler Heldenspiele,Freilichtspiele Mettlen,1947,x,Mettlen,,Mettlen,TG,CH,x,,x,,na,1947,,,,,10 R <Sammelcouvert>,1947
EFLS_58,Parc de l'Indépandance,,Ramayana ; 1996,x,Morges,,Morges,VD,CH,x,,x,,na,1996,,,,,1 C,1996
EFLS_59,Theater im Park,,Münchenstein ; Arena,x,Münchenstein,,Münchenstein,BL,CH,www.theaterimpark.ch,,,,na,2011-?,,,,,6 R <Sammelcouvert>,2011-(2013)
EFLS_60,Freilichtspiel La-Punt-Chamues-ch,,1985,x,La Punt-Chamues-ch,,La Punt-Chamues-ch (ZSV),GR,CH,x,,x,,na,1985,,,,,,1985
EFLS_61,Théâtre du monde,,,x,Neuchâtel ; Lausanne <Théâtre de Beaulieu>,,Neuchâtel,NE,CH,x,,x,,na,1956,,,,,1 C,1956
EFLS_62,Schloss-Spiele Falkenstein,,,x,Niedergösgen,,Niedergösgen,SO,CH,www.schlossspiele-falkenstein.ch,,x,,a,2002-,,,,,6 R <Sammelcouvert>,"(2007), 2010, 2011, 2012, 2014, 2016"
EFLS_63,Festival La Perla,La Perla Opernfestival,,x,Pfäffikon ZH,,Pfäffikon ZH: Festival La Perla,ZH,CH,x,,x,,na,2013,,,,,1 C,(2011)-
EFLS_64,"""Seldwyla 91""",,,x,Rigi,,Rigi,SZ,CH,x,,x,,na,1991,,,,,15 R <Sammelcouvert>,1991
EFLS_65,Sommertheater Sarasin-Park,,im Zirkuszelt,x,Riehen,,Riehen,BS,CH,x,,x,,na,?-1992,,,,,1 C,(1987)-1992
EFLS_66,Origen Festival Cultural,,,GFL,Riom,,Riom,GR,CH,www.origen.ch,,x,,a,2006-,,,,,2 C,(1999)-
EFLS_67,Klostersommer Rüeggisberg,,Freilichttheater,x,Rüeggisberg,,Rüeggisberg (ZSV),BE,CH,www.klostersommer.ch,,x,,a,1999-,,,,,,
EFLS_68,Munot Opernspiele,,,x,Schaffhausen,,Schaffhausen,SH,CH,www.opernspielemunot.ch,,x,,a,2015-,,,,,1 R <Sammelcouvert>,(2015)-
EFLS_69,Shpektakel,,Schaffhauser Theaterspektakel,x,Schaffhausen,,Schaffhausen: Schaffhauser Theaterspektakel,SH,CH,www.shpektakel.ch,,x,,a,2000-,,,,,1 C,2000-
EFLS_70,Oper Schenkenberg,,,GFL,Schinznach Dorf,,Schinznach Dorf,AG,CH,x,,x,,a,2010-2016,,,,,1 C,2009-2016
EFLS_71,Freilichtspiele Schlosspark Schlosswil ,,,x,Schlosswil,,Schlosswil (ZSV),BE,CH,x,,x,,a,?,,,,,,
EFLS_72,Freilichtspiel Schmidigen,,,x,Schmidigen,,Schmidigen (ZSV),BE,CH,x,,x,,a,?,,,,,,
EFLS_73,Jedermann,,Freilichtspiel 2005,x,Schwyz,,Schwyz,SZ,CH,x,,x,,na,2005,,,,,1 C,2005
EFLS_74,Seelisberg Rütli-Festival,Seelisberg-Rütli-Festival,Musikschauspiel 200. Geburtstag Richard Wagner,x,Seelisberg,,Seelisberg,UR,CH,x,,x,,na,2013,,,,,12 R <Sammelcouvert>,2013
EFLS_75,Sommer Oper Selzach,Sommeroper Selzach,,GFL,Selzach,,Selzach,SO,CH,www.sommeroper.ch,,x,,a,"1989- <Sommeroper>, <Passionsspiele versch. Jahre>","Passionsspiele Selzach (versch. Jahre), Sommerspiele im Passionsspielhaus (2004-2008)",,,,2 C,"(1932), 1949, 1952, 1972, 1989 (Passionsspiele), 2004-2008 (Sommerspiele Selzach), 2008- (Sommeroper)"
EFLS_76,Kirchbühl Totentanz,,1993,x,Sempach,,Sempach,LU,CH,x,,x,,na,1993,,,,,1 C,(1991)-1993
EFLS_77,Oper Schloss Waldegg,,,,Solothurn,,Solothunr,SO,CH,www.operwaldegg.ch,,x,,a,2006?-,,,,,1 C,"(1991), 2000, 2006, 2007, 2011-"
EFLS_78,Fêtes des Vendanges,,1946,x,Sion,,Sion,VS,CH,x,,x,,na,1946,,,,,4 R <Sammelcouvert>,1946
EFLS_79,Schloss Spiele Spiez,Schloss-Spiele Spiez ,,x,Spiez,,Spiez <Winterproduktion eigene ZSV-Ablage>,BE,CH,www.schlossspielespiez.ch,,Amathea,,a,1959-,,,,,,
