ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Bod_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_41349,<Theatergruppe Jodlerclub Lyssach>,,,Lyssach,,Lyssach: Jodlerclub Lyssach,BE,CH,www.jk-lyssach.ch,,x,a,?,,,,,,
AC_41350,Theatergruppe Hei Zue,,,Lyssach,,Lyssach,BE,CH,x,,x,a,?,,,,,,
AC_41351,Spielgemeinde Madiswil,,,Madiswil,,Madiswil,BE,CH,x,,x,a,?,,,,,,
AC_41352,Pulcinella Magadino,Gruppo teatrale Pulcinella,,Magadino,,Magadino <nicht ZSV>,TI,CH,www.gruppopulcinella.tuli.ch,,FFSI,a,1982-,,,,,5 R <Sammelcouvert>,"(2002), 2004, 2007"
AC_41353,Teatro Azzurro,,,Magadino ; Quartino ; Arbedo,,Magadino <nicht ZSV>,TI,CH,www.teatroazzurro.com,,x,a,1991-,,,,,10 R <Sammelcouvert>,"(2000), 2001, 2003, 2005, 2007, 2011"
AC_41354,Theatergruppe Magden,,,Magden,,Magden,AG,CH,www.theatermagden.ch,,VAV,a,2004-,,,,,,
AC_41355,Theaterbühne Maganvilare,,,Mägenwil,,Mägenwil,AG,CH,www.maegenwil-theater.ch,,VAV,a,2008-,,,,,,
AC_41356,Maggiainscena,Maggia in Scena,Compagnia teatrale,Maggia,,Maggia <nicht ZSV>,TI,CH,www.maggiainscena.com,,x,a,2005-,,,,,6 R <Sammelcouvert>,"(2008), 2011"
AC_41357,Dramatischer Verein Männedorf,DVM,,Männedorf,,Männedorf,ZH,CH,www.dvm.ch,,RVA,a,1872-,,,,,,
AC_41358,Theatergruppe Gemischter Chor Magglingen-Leubringen,,,Magglingen,,Magglingen,BE,CH,x,,Amathea,a,?,,,,,,
AC_41359,Theater Maladers,Dramatischer Verein Maladers,,Maladers,,Maladers,GR,CH,https://theater-maladers.ch,,BVV,a,1913-,Dramatischer Verein Maladers,,,,,
AC_41360,Lamuns,,Theatergruppe,Malans,,Malans,GR,CH,www.lamuns.bplaced.net/projekt.htm,,x,a,2006-,,,,,,
AC_41361,Theaterverein Malix,,,Malix,,Malix,GR,CH,www.theatermalix.ch,,BVV,a,1985-,,,,,,
AC_41362,Terre Nouvelle,,,Malleray-Bévilard,,Malleray-Bévilard <nicht ZSV>,BE,CH,x,,x,a,?,,,,,2 R <Sammelcouvert>,"(2000), 2002"
AC_41363,Kinder- und Jugendtheater Malters,,,Malters,,Malters,LU,CH,www.theater-malters.ch/kinder-jugendtheater/,,x,a,?,,,,,,
AC_41364,Theatergesellschaft Malters,,,Malters,,Malters,LU,CH,www.theater-malters.ch,,RZV,a,18. Jh. -,,,,,,
AC_41365,Hölzlibühne,,,Männedorf,,Männedorf <nicht ZSV>,ZH,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,(1988)-
AC_41366,Theaterverein Marbach,,,Marbach,,Marbach,LU,CH,www.theaterverein-marbach.ch,,x,a,1990-,,,,,,
AC_41367,Théâtre La Ramée,,Compagnie,Marin,,Marin: Théâtre La Ramée <nicht ZSV>,NE,CH,www.theatre-laramee.ch,,FSSTA,a,1987-,,,,,3 R <Sammelcouvert>,"(2002), 203, 2008"
AC_41368,Le Vers à soi,,,Marly,,Marly <nicht ZSV>,FR,CH,x,,x,na,?,,,,,x,x
AC_41369,Les Casse Rôles,,,Marly,,Marly <nicht ZSV>,FR,CH,x,,FSSTA,a,?,,,,,x,x
AC_41370,Théâtre du Petit Marly,,,Marly,,Marly <nicht ZSV>,FR,CH,x,,AFTA,a,?,,,,,x,x
AC_41371,Filodrammatica Maroggese,,,Maroggia,,Maroggia <nicht ZSV>,TI,CH,x,,FFSI,na,1972-1993,,,,,x,x
AC_41372,A.S.T.A.V.,Association des Sociétés du Théâtre Amateur Valaisan,,Martigny,,Martigny <nicht ZSV>,VS,CH,www.astav.ch,,FSSTA,a,,,,,,x,x
AC_41373,Atmosphère Théâtre,,,Martigny,,Martigny <nicht ZSV>,VS,CH,www.atmosphere-theatre.ch,,FSSTA,a,1997-,,,,,2 R <Sammelcouvert>,"(2003), 2015"
AC_41374,Le Masque,,,Martigny,,Martigny <nicht ZSV>,VS,CH,www.le-masque.ch,,FSSTA,a,1990-,Atelier de Masque,,,,1 C,"1990, 1992, 2015-"
AC_41375,La Combédie,,,Martigny-Croix,,Martigny-Croix <nicht ZSV>,VS,CH,x,,FSSTA,a,?,,,,,x,x
AC_41376,<Theatergruppe Jungmannschaft Masein>,,,Masein,,Masein: Jungmannschaft Masein,GR,CH,http://juma.caflisch.info/frame.html,,BVV,a,?,,,,,,
AC_41377,<Theatergruppe Jodlerklub Matten>,,,Matten bei Interlaken,,Matten bei Interlaken: Jodlerklub Matten,BE,CH,www.jodlerklub-matten.ch,,x,a,?,,,,,,
AC_41378,Musikgesellschaft Matten,,,Matten bei Interlaken,,Matten bei Interlaken,BE,CH,https://mgmatten.ch,,x,a,?,,,,,,
AC_41379,<Theatergruppe Männerchor Mättenwil>,,,Mättenwil,,Mättenwil: Männerchor Mättenwil <nicht ZSV>,AG,CH,www.mc.maettenwil.ch,,x,a,?,,,,,2 R <Sammelcouvert>,"(1988), 2006"
AC_41380,<Theatergruppe Gemischter Chor Matzendorf>,,,Matzendorf,,Matzendorf: Gemischter Chor Matzendorf,SO,CH,x,,x,a,?,,,,,,
AC_41381,<Theatergruppe Männerchor Frohsinn Matzendorf>,,,Matzendorf,,Matzendorf: Männerchor Frohsinn Matzendorf,SO,CH,x,,x,a,?,,,,,,
AC_41382,Theatergruppe der Musikgesellschaft,,,Matzendorf,,Matzendorf,SO,CH,x,,x,a,?,,,,,,
AC_41383,Heubühne Matzingen,,,Matzingen,,Matzingen,TG,CH,x,,VOV,a,?,,,,,,
AC_41384,Theatergruppe Mauensee,Spielgruppe Mauensee,,Mauensee,,Mauensee,LU,CH,www.theatergruppe-mauensee.ch,,RZV,a,1946-,,,,,,
AC_41385,Seniorenbühne Maur,,,Maur,,Maur,ZH,CH,x,,x,a,(noch existent?),,,,,,
AC_41386,Theatergruppe Mühle,,,Maur,,Maur,ZH,CH,x,,x,a,(noch existent?),,,,,,
AC_41387,Dorf-Theater Meggen,,,Meggen,,Meggen,LU,CH,www.dorf-theater-meggen.ch,,RZV,a,1997-,,,,,,
AC_41388,<Theatergruppe Gemischter Chor Meggen>,,,Meggen,,Meggen: Gemischter Chor Meggen,LU,CH,x,,x,na,?,,,,,,1946-1949
AC_41389,Theatergesellschaft Meggen,,,Meggen,,Meggen,LU,CH,www.tgm.ch,,RZV,a,1990?-,,,,,,
AC_41390,Freilichtspiel Meienberg,,,Meienberg,,Meienberg,AG,CH,x,,x,na,?,,,,,,1998
AC_41391,Theatergruppe Meierskappel,,,Meierskappel,,Meierskappel,LU,CH,x,,x,a,?,,,,,,
AC_41392,<Theatergruppe Gemischter Chor Meikirch>,,,Meikirch,,Meikirch: Gemischter Chor Meikirch,BE,CH,x,,x,a,?,,,,,,
AC_41393,Theater 3045,,,Meikirch,,Meikirch,BE,CH,x,,Amathea,a,?,,,,,,
AC_41394,<Theatergruppe Trachtengruppe Meikirch>,,,Meikirch,,Meikirch: Trachtengruppe Meikirch,BE,CH,www.tgmeikirch.ch,,Amathea,a,?,,,,,,
