ID_NR_Event,Name_Event,Name_Event_Alias,Attribute_Byline_Description,Veranstalter,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFES_42,PerformaCity ,,,?,FES,Basel,,Basel: Kaserne Basel,BS,CH,x,,x,,a,2014 (einmalig?),,,,,1 R <Sammelcouvert>,(2014)-
EFES_43,Spiilplätz (Festival),,Nationales Festival der Theaterjugendclubs,?,FES STK,Basel,,"Basel: Theater Basel, Div. <eigenl. Wechselnde Orte: Basel, Bern, Luzern, Zürich>",BS,CH,x,,Assitej,,a,?,,,,,1 C,2000 / 2002 / 2004 / 2005/ 2006 / 2011
EFES_44,Tango-Festival Basel,Internationales Tangofestival Ostertango,,?,FES STT,Basel,,Basel,BS,CH,www.tangobasel.ch/Aktuell/OsterTango.html,,x,,a,2008-,,,,,1 C,2008-(2011)
EFES_45,Tanz in Stücken,,,?,FES STT,Basel ; Zürich u.v.a.,,Basel (siehe auch Bern und Zürich),BS,CH,x,,x,,na,1989-1997,IGTZ (Interessengemeinschaft Tanz in Zürich),,,,1 C  und 1 C und 1 C,1994 (Basel) 1995-1997 (Bern) 1992-1997 (Zürich)
EFES_46,Tanzszene Schweiz '85,,,x,x,Basel,,Basel: Stadttheater: Kleine Bühne,BS,CH,x,,x,,na,?,,,,,x,x
EFES_47,Tanztage Basel,Basler Tanztage,,?,FES STT,Basel,,Basel,BS,CH,x,,x,,a,(noch existent?),,,,,2 C,2002-(2011)
EFES_48,Theaterfestival Basel,Theater Festival Basel,,Theaterfestival Basel,FES,Basel,,Basel,BS,CH,www.theaterfestival.ch,,x,,a,?-,Welt in Basel,,,,2 S,1991-
EFES_49,Theaterschiff,,internationales Jugendtheaterprojekt,x,FES STK,Basel ; Zürich,,Basel und Zürich,BS,CH,x,,x,,na,1949 und 1952,,,,,1 C <Zürich) 1 C <Basel),1949 <Zürich> 1952 <Basel>
EFES_50,Treibstoff Theatertage Basel,,,Treibstoff Theatertage Basel,FES TFS,Basel,,Basel,BS,CH,www.treibstoffbasel.ch,,x,,a,2004-,,,,,1 C,2004-
EFES_51,u.a. ,,Festival,x,FES,Basel,,Basel,BS,CH,x,,x,,na,?,,,,,1 C,1993
EFES_52,Welt in Basel,,,x,FES,Basel,,Basel: Kaserne Basel,BS,CH,x,,x,,na,1991-?,,Theaterfestival Basel,,,x,x
EFES_53,Welttanz-Festival Basel,Welttanztag Basel,,x,FES STT,Basel,,Basel,BS,CH,x,,x,,na,?,,,,,1 C,"1993, 1994, 2002"
EFES_54,Wildwuchs Festival,,,Wildwuchs Festival,FES,Basel,,Basel,BS,CH,www.wildwuchs.ch,,Premio,,a,2001-,,,,,1 C,2001 / 2004 / 2007 / 2009
EFES_55,Chi è di scena,,,Teatro Sociale?,FES,Bellinzona,,Bellinzona: Teatro Sociale,TI,CH,www.teatrosociale.ch/rassegna/chi-é-di-scena,,x,,a,?,,,,,x,x
EFES_56,com.x,,festival della comicità,Teatro Sociale?,FES VOK,Bellinzona,,Bellinzona: Teatro Sociale,TI,CH,www.teatrosociale.ch,,x,,a,?,,,,,x,x
EFES_57,Festival internazionale del teatro per l'infanzia e la gioventù,,,x,FES STK,Bellinzona,,Bellinzona,TI,CH,x,,x,,na,?,,,,,x,x
EFES_58,Homo Ridens Festival,Homoridensfestival,,Homo Ridens Festival,FES VOK,Bellinzona,,Bellinzona <ab 2002 Bellinzona: Teatro Sociale>,TI,CH,www.homoridensfestival.ch,,x,,a,?,,,,,1 C,(1988)-(2001)
EFES_59,Opera Bellinzona,Festival Castelgrande,Opernfestival,x,FES,Bellinzona,,Bellinzona,TI,CH,x,,x,,na,1999-2003,,,,,1 C,"1999-2003, 2011"
EFES_60,Territori,,Festival di teatro,Teatro Sociale?,FES,Bellinzona,,Bellinzona: Teatro Sociale: Territori,TI,CH,www.territori.ch,,x,,a,?,,,,,x,x
EFES_61,Afrique Noire,,Festival,x,FES,Bern,,Bern <siehe auch unter: Bern: Schlachthaus Theater und Bern: Dampfzentrale),BE,CH,x,,x,,na,?,,,,,1 C,"2001, 2003, 2005, 2006"
EFES_62,Akzeptanz,akzepTANZ,Manifest für den Tanz CH,x,FES STT,Bern,,Bern,BE,CH,x,,x,,na,?,,,,,1 C,2004
EFES_63,Auawirleben,"Aua wir Leben!; Aua, wir leben",,Auawirleben <früher:> Berner Ensemble,FES TFS,Bern,,"Bern <bis 31.7.1987 unter Bern: Stadttheater, später eigene Ablage>",BE,CH,www.auawirleben.ch,,x,r,a,1982-,,,,,3 S,(1988)-
EFES_64,Berner Altstadtsommer,Berner Altstadt-Festival,,x,FES,Bern,,Bern <siehe auch unter Bern: Altes Schlachthaus>,BE,CH,x,,x,,na,1978,,,,,1 C,"1978, 1983-(2002)"
EFES_65,Berner Humortage,,,?,FES VOK,Bern,,Bern: Tojo,BE,CH,www.berner-humortage.ch,,x,,a,2014-,,,,,x,x
EFES_66,Berner Kunstwochen,,,x,FES,Bern,,Bern <Einzelveranstaltungen unter Bern: Stadttheater u.a. betiligte Orte>,BE,CH,,,x,,na,?,,,,,1 C,"1970, 1972"
EFES_67,Berner Poesienacht,,,?,FES,Bern,,Bern: Botanischer Garten,BE,CH,www.botanischergarten.ch/boga/agenda/poesienacht.html,,x,,a,?,,,,,x,x
EFES_68,Berner StudentInnen Theater Festival,Bestival,,?,FES ATV,Bern,,Bern,BE,CH,www.bestival.ch,,x,,a,2013?-,,,,,x,x
EFES_69,Berner Tanztage ,,,x,FES STT,Bern,,Bern,BE,CH,x,,x,,na,1987-2007,,,,,3 S,1987-2007
EFES_70,Biennale Bern,,Festival für Zeitgenössische Künste,x,FES,Bern,,"Bern, HKB",BE,CH,www.biennale-bern.ch,,x,,na,2003-2014,,,,,x,x
EFES_71,Bone,Bone Performance Festival,Festival für Aktionskunst Bern,Bone,FES,Bern,,"Bern, Schlachthaus Theater",BE,CH,www.bone-performance.com,,x,,a,1998-,,,,,x,x
EFES_72,Buskers Bern,,Strassenmusik-Festival,Buskers Bern,FES,Bern,,Bern,BE,CH,www.buskersbern.ch,,x,,a,2004-,,,,,1 C,2004-
EFES_73,Community Dance Festival,Community Arts Festival,,BewegGrund,FES STT,Bern,,Bern: BewegGrund und Bern: Community Dance Festvial,BE,CH,www.beweggrund.org,,x,,a,1999-,,,,,1 C,"1999, 2006, 2009"
EFES_74,Drehorgel-Festival Bern,,,x,FES,Bern,,Bern,BE,CH,x,,x,,na,?,,,,,1 C,1979
EFES_75,Festival Ouest-Est,,Tanz ; Theater ; Performance,?,FES,Bern,,Bern (früher siehe auch unter Bern: Dampfzentrale und Bern: Schlachthaus-Theater),BE,CH,x,,x,,a,2005-2008? (noch existent?),,,,,1 C,"2007, 2008"
EFES_76,Forever Young,,Tanzfestival,Dampfzentrale Bern,FES STT,Bern,,Bern: Dampfzentrale,BE,CH,www.dampfzentrale.ch,,x,,a,?,,,,,x,x
EFES_77,Heimspiel,Tanz Festival Heimspiel,Tanzfestival,Dampfzentrale Bern,FES STT,Bern,,Bern: Dampfzentrale,BE,CH,www.dampfzentrale.ch,,x,,a,?,,,,,x,x
EFES_78,Internationales Festival kleiner Bühnen,,,x,FES,Bern,,"Bern: Internat. Festival kleiner Bühnen (wenn Grundsätzliches, mehrere Aufführungen od. ausländische Gastspiele, Stammort einzl. Schweizer Theater, wenn 1-2 Aufführungen",BE,CH,x,,x,,na,1972-1983,,,,,1 S,1972-(1986)
EFES_79,Internationaler Sommerkurs für Tanz,,,x,x,Bern,,Bern,BE,CH,x,,x,,na,1973,,,,,1 C,1973
EFES_80,Ja'salâm,,Festival,x,FES,Bern,,Bern (siehe auch unter Bern: Schlachthaus-Theater und Bern: Dampfzentrale),BE,CH,x,,x,,na,2002,,,,,1 C,2002
EFES_81,kicks,,Kindertheaterfestival,Schlachthaus Theater,FES STK,Bern,,Bern: Schlachthaus Theater,BE,CH,www.schlachthaus.ch,,x,,a,2016-,,,,,x,x
EFES_82,Life Games,,Tanz-Theaterspektakel,x,FES,Bern,,Bern,BE,CH,x,,x,,na,2009,,,,,1 C,2009
EFES_83,Machine Love Festival,,Performance-Festival,Dampfzentrale Bern,FES,Bern,,Bern: Dampfzentrale,BE,CH,www.dampfzentrale.ch,,x,,a,?,,,,,x,x
EFES_84,Mad Scientist Festival,,Das forsche Festival zwischen Kunst und Wissenschaft,?,FES,Bern,,Bern,BE,CH,www.madscientist-festival.ch,,x,,a,?,,,,,1 C,(2016)-
EFES_85,Mix up!,,,Dampfzentrale Bern ; Schlachthaus-Theater Bern,FES,Bern,,Bern,BE,CH,www.mixupfestival.ch,,x,,a,2016-,,,,,1 R,2016-
EFES_86,Museumsnacht Bern,Berner Museumsnacht,,Museen Bern <Verein>,x,Bern,,Bern,BE,CH,www.museumsnacht-bern.ch,,x,,a,2003-,,,,,1 C,"2007, 2012"
EFES_87,Musikfestival Bern,,,Musikfestival Bern,FES,Bern,,Bern,BE,CH,www.musikfestivalbern.ch,,x,,a,2007-,,,,,1 C,"2011, 2013"
EFES_88,Pink Mama Festival,,,Pnik Mama Theatre,,Bern,,Bern: Pink Mama Theatre,BE,CH,www.pinkmamatheatre.com,,x,,a,?,,,,,x,x
EFES_89,Schul- und Jugendtheatertreffen Bern,,,?,FES STK,Bern,,Bern,BE,CH,x,,x,,a,(noch existent?),,,,,1 C,(1982)-
EFES_90,Schule und Theater,,"Projekt, Bern",x,x,Bern,,Bern,BE,CH,x,,x,,na,?,,,,,1 C,"1983, 1985, 1987, 1988"
EFES_91,sonOhr Festival,,Hörfestival,?,FES,Bern,,Bern,BE,CH,www.sonohr.ch,,x,,a,2009-,,,,,1 C,2014-
EFES_92,Steps To Get It,,Salsa-Festival,?,FES STT,Bern,,Bern,BE,CH,www.salsadancers.ch/stepstogetit.html,,x,,a,?,,,,,x,x
EFES_93,Tag des Tanzes,,Bundesplatz,x,FES STT,Bern,,Bern,BE,CH,x,,x,,na,?,,,,,1 C,"1985, 1987"
EFES_94,Tanz in Bern,Tanz in. Bern; Tanz in.Bern,,Dampfzentrale Bern,FES STT,Bern,,Bern: Dampfzentrale: Tanz in Bern,BE,CH,www.dampfzentrale.ch,,x,,a,?,,,,,x,x
EFES_95,Tanzparenz,,,x,FES STT,Bern,,Bern <siehe auch Bern: Tanz Aktive Plattform TAP> <siehe für tanz@dz auch Bern: Dampfzentrale>,BE,CH,x,,x,,na,?,,,,,1 C,"1994, 1998, 2000, 2002, 2006"
EFES_96,Tanzplattform Bern,,Festival,Konzert Theater Bern (KTB),FES STT,Bern,,Bern: KTB,BE,CH,www.konzerttheaterbern.ch,,x,,a,?,,,,,x,x
EFES_97,Theaterfestival Skilt,,,Skilt Produktion,FES,Bern,,Bern: Skilt Produktion,BE,CH,www.skiltproduktion.tumblr.com,,x,,a,?,,,,,x,x
EFES_98,TheaterSalater,,,x,FES STK,Bern,,Bern,BE,CH,x,,x,,na,1987,,,,,1 C,1987
EFES_99,Criminale,,Krimifestival,?,FES,"Bern ; Solothurn <eigentlich wechselnde Orte CH, D, A>",,CH.: Einz. Reg.: Kt. Bern,BE; SO,CH,www.die-criminale.de,,x,,a,?,,,,,x,x
EFES_100,Petronilla in scena <festival>,,Festival Teatro dialettale,Petronilla in scena,FES ATV,Biasca,,Biasca,TI,CH,x,,x,,a,?,,,,,1 R <Sammelcouvert>,(2013)-
EFES_101,Atelier Afrique,,,x,FES,Biel/Bienne,,Biel/Bienne,BE,CH,x,,x,,na,1987,,,,,1 C,1987
EFES_102,FiestArt,,,?,FES,Biel/Bienne,,Biel/Bienne,BE,CH,x,,x,,na,1992?,,,,,1 C,1992
EFES_103,Miroir 86,,Fête du Rassemblement Culturel Romand,?,FES,Biel/Bienne,,Biel/Bienne,BE,CH,x,,x,,na,?,,,,,1 C,(1985)-(1986
EFES_104,Pod'Ring,,,?,FES,Biel/Bienne,,Biel/Bienne,BE,CH,www.podring.ch,,x,,a,1978-,,,,,1 C,(1984)-
EFES_105,Schultheaterfestival Biel,Festival de théâtre scolaire Bienne,,?,FES ATV,Biel/Bienne,,Biel/Bienne,BE,CH,x,,x,,?,?,,,,,1 C,(1995)-(2009)
EFES_106,Südrampe,,Festival,?,FES,Biel/Bienne,,Biel/Bienne,BE,CH,x,,x,,na,1992?,,,,,1 C,1992
EFES_107,Zauberfestival Biel,,,?,FES,Biel/Bienne,,Biel/Bienne,BE,CH,,,x,,na,2005?,,,,,1 C,2005-(2007)
EFES_108,Boswiler Sommer,,Klassik-Musik-Festival,Künstlerhaus Boswil?,FES,Boswil,,Boswil: Künstlerhaus Boswil,AG,CH,www.kuenstlerhausboswil.ch,,x,,a,?,,,,,s. Künstlerhaus Boswil,s. Künstlerhaus Boswil
EFES_109,Schweizer Kindertheatertreffen,,1. bis 4.,x,FES STK,Boswil <später: wechselnde Orte>,,Boswil,AG,CH,x,,x,,na,1979-1982,,,,,1 C,1979-1982
EFES_110,Festival Internazionale Ruggiero Leoncavallo,Festival Ruggiero Leoncavallo; Leoncavallo-Festival Brissago,,"Festival Internazionale Ruggiero Leoncavallo (Festival Ruggiero Leoncavallo, Leoncavallo-Festival Brissago)",FES,Brissago,,Brissago,TI,CH,x,,x,,a,1996-,,,,,,
EFES_111,Journées du théâtre amateur Romand,,,x,FES ATV,Bulle,,Bulle (nicht ZSV),FR,CH,x,,x,,na,1983,,,,,8 R <Sammelcouvert>,1983
EFES_112,Rencontres théâtrales de Bulle,,,Rencontres théâtrales ,FES ATV,Bulle,,Bulle (nicht ZSV),FR,CH,www.rencontres-theatrales.ch,,x,,a,1982-,,,,,1 C,1982-
EFES_113,"""Kopfsalat""",,,Agentur für ansprechenden Unfug,FES VOK,Burgdorf,,Kabarett: Burgdorf,BE,CH,www.ansprechender-unfug.ch/Agentur_fur_ansprechenden_Unfug/KOPFSALAT.html,,x,,a,?,,,,,1 C,(2014)-
EFES_114,"""Kopfnuss""",,,Agentur für ansprechenden Unfug,FES VOK,Burgdorf,,Kabarett: Burgdorf,BE,CH,www.ansprechender-unfug.ch/Agentur_fur_ansprechenden_Unfug/KOPFNUSS.html,,x,,a,?,,,,,x,x
EFES_115,Burgdorfer Krimitage,Krimitage Burgdorf,,?,FES VOK,Burgdorf,,Burgdorf: Krimitage Burgdorf,BE,CH,www.krimitage.ch,,x,,a,1994-,,,,,1 C,1994-
EFES_116,Festival CTRL-J,,,,FES STK,Carouge,,Genève,GE,CH,x,,x,,a,2015-,,,,,1 C,(2016)-
EFES_117,Miroir 89,,,x,FES,Carouge,,Carouge,GE,CH,x,,x,,na,1989,,,,,11 R Sammelcouvert>,1989
EFES_118,Printemps Carougeois,,Festival,Printemps Carougeois <Festival>,FES,Carouge,,Carouge,GE,CH,www.printemps-carougeois.ch,,x,,a,?,,,,,3 R <Sammelcouvert>,"(1999), 2000, 2014"
EFES_119,Maxi-Rires,,Festival,Maxi-Rires <Festival>,FES VOK,Champéry,,Champéry,VS,CH,www.maxi-rires.ch,,x,,a,?,,,,,6 R <Sammelcouvert>,"(2012), 2014, 2015"
EFES_120,Festival de Chézard,,Amateurtheater-Festival,x,FES ATV,Chézard,,Chézard,NE,CH,x,,x,,na,?,,,,,x,x
EFES_121,Chiasso Danza,,,Chiasso Danza,FES STT,Chiasso,,Chiasso,TI,CH,x,,x,,a,1989- (noch existent?),Rassegna di Danza contemporanea,,,,11 R <Sammelcouvert>,(1993)-(2000)
EFES_122,Rassegna Teatro Per Ragazzi,Rassegna Teatro Per I Ragazzi,,x,FES STK,Chiasso,,Chiasso,TI,CH,x,,x,,na,?,,,,,8 R <Sammelcouvert>,(1991)-(1993)
EFES_123,Buskers Chur,,Strassenfestival,x,FES,Chur,,Chur,GR,CH,https://buskers-chur.ch,,x,,a,,,,,,1 R <Sammelcouvert>,(2015)-(2015)
EFES_124,"Internationales Theaterfestival ""Klibühni Schnidrzumft""",,,x,FES,Chur,,Chur,GR,CH,,,x,,na,?,,,,,x,x
EFES_125,Churer Kleintheater-Festival,,,x,FES VOK,Chur,,Chur,GR,CH,x,,x,,na,?,,,,,x,x
EFES_126,Tanzfestival Tanzeit-Zeitanz,Tanzeit-Zeitanz Festival,,?,FES STT,Chur,,Chur: Tanzeit-Zeitanz Festival,GR,CH,www.tanz-gr.ch,,x,,a,2009-,,,,,1 C,"(2011), 2012"
EFES_127,Theatralische Adventskalender Chur,,,?,x,Chur,,Chur,GR,CH,x,,x,,a,2003-,,,,,1 C,-2014
EFES_128,Transversalen,,,x,FES,Chur,,Chur,GR,CH,x,,x,,na,1997,,,,,1 C,1997
EFES_129,VTS-Theatertreffen,,1986,x,FES,Chur,,Chur,GR,CH,x,,x,,na,1986,,,,,1 C,1986
EFES_130,Welt in Chur,,Festival,?,FES,Chur,,Chur,GR,CH,x,,x,,a,?,,,,,1 C,(2015)-
EFES_131,Festival di Teatro al Castelmur,,,?,FES,Stampa (Coltura),,Stampa,GR,CH,x,,x,,a,2007?-,,,,,2 R <Sammelcouvert>,(2015)-
EFES_132,Autour de Mme Staël,AMS,,Autour de Mme Staël (AMS),FES,Coppet,,Coppet,VD,CH,www.autourdemmedestael.com,,x,,a,2010-,,,,,7 R,(2012)-
EFES_133,Carrefour des Théâtres,CDT,,?,FES,Courrendlin,,Courrendlin,JU,CH,www.festival-cdt.ch,,x,,a,?,,,,,x,x
EFES_134,Festi’Laaf,,,?,FES,Courtételle,,Courtételle,JU,CH,http://festi-laaf.com,,x,,a,?,,,,,3 R <Sammelcouvert>,(2014)-
EFES_135,Davos Festival,,Young Artists in Concert,Davos Festival,FES,Davos,,Davos,GR,CH,www.davosfestival.ch,,x,,a,1986-,,,,,5 R <Sammelcouvert>,(1994)-
EFES_136,mobil(e),,Festival de danse contemporaine,x,FES STT,Delémont,,Delémont,JU,CH,x,,x,,na,2002,,,,,9 R <Sammelcouvert>,2002
EFES_137,Chrüz&Quär-Festival,Chrüz & Quär-Festival,,?,FES VOK,Dübendorf,,Dübendorf,ZH,CH,x,,x,,a,?,,,,,3 R <Sammelcouvert>,(2011)-
EFES_138,Dübendorfer Kulturtage,,,x,FES,Dübendorf,,Dübendorf,ZH,CH,x,,x,,na,?-1999,,,,,5 R <Sammelcouvert>,(1993)-1999
EFES_139,Kabarett-Tage Dübendorf,,,x,FES VOK,Dübendorf,,Kabarett: Dübendorf,ZH ,CH,x,,x,,na,1995-1998,,,,,1 C,(1995)-(1998)
EFES_140,Piccolo-Musikfestival,,,Teatro di Capua,FES,Embrach,,Embrach: Teatro di Capua,ZH,CH,www.teatrodicapua.ch,,x,,a,2004?-,,,,,2 R <Sammelcouvert>,"(2009), 2012"
EFES_141,Erlach lacht,,,Kulturförderverein Erlach lacht ;  Theater-Erschaffen ADAM&EVA,FES VOK,Erlach,,Erlach,BE,CH,www.erlach-lacht.ch,,x,,a,?,,,,,6 R <Sammelcouvert>,(200(-
EFES_142,Festival Belluard Bollwerk International,,,Festival Belluard Bollwerk International,FES,Fribourg/Freiburg,,Fribourg/Freiburg: Festival Belluard Bollwerk International,FR,CH,www.belluard.ch,,x,,a,1983-,,,,,4 S,1983-
EFES_143,Volksbühnen-Festival,,,x,FES ATV,Fribourg/Freiburg,,Fribourg/Freiburg,FR,CH,x,,x,,na,1991,,,,,x,x
EFES_144,Festival Théâtres d'Europe,,,x,FES,Fribourg/Freiburg,,Fribourg/Freiburg,FR,CH,x,,x,,na,2000-,,,,,3 R <Sammelcouvert>,2000
EFES_145,FriScènes,Fri Scènes,Festival International de Théâtre Fribourg,FriScènes (Festival International de Théâtre Fribourg),FES ATV,Fribourg/Freiburg,,Fribourg/Freiburg,FR,CH,www.friscenes.ch,,x,,a,2008-,,,,,1 C,2008
EFES_146,Juilletdanse,,Festival International de Danse,Juilletdanse,FES STT,Fribourg/Freiburg,,Fribourg/Freiburg,FR,CH,www.juilletdanse.ch,,x,,a,2008?-,,,,,1 C <Sammelcouvert>,(2012)-(2012)
EFES_147,Festival Le printemps des compagnies,,Festival,Théâtre des Osses,FES,Fribourg/Freiburg,,Fribourg/Freiburg: Théâtre des Osses,FR,CH,www.theatreosses.ch,,x,,a,2015-,,,,,x,x
EFES_148,Mourrire Festival de l'humour et du rire,,,x,FES VOK,Fribourg/Freiburg,,Fribourg/Freiburg (vor 1984: Pully),FR; VD,CH,x,,x,,na,?,,,,,x,x
EFES_149,Rencontres de Folklore Internationales,Internationales Folkloretreffen; RFI,,?,FES,Fribourg/Freiburg,,Fribourg/Freiburg: Rencontres Folkloriques Internationales,FR,CH,www.rfi.ch/de,,x,,a,1975-,Rencontres Folkloriques Internationales,,,,1 C,"(1984), 2003, 2011"
EFES_150,Semaine Suisse du théâtre d'animation,,,x,x,Genève,,Genève: Théatre St. Gervais,GE,CH,?,,x,,na,?,,,,,x,x
EFES_151,C'est déja demain,,"jeunes comédiens, jeunes compagnies",Théâtre du Loup ; La Gravière,FES,Genève,,Genève: Théâtre du Loup,GE,CH,www.theatreduloup.ch und www.lagraviere.ch,,x,,a,?,,,,,x,x
EFES_152,Dansez!,,,x,FES STT,Genève ; Annemasse,,Genève und Aufführungsstätten,GE,CH,x,,x,,a,1998-2007,,,,,1 C,(1999)-(2006)
EFES_153,Extasis,,Festival de musiques d'aujourd'hui,x,FES,Genève,,Genève,GE,CH,x,,x,,na,1987-?,,,,,1 C,(1988)-(1991)
EFES_154,Festival Agapé,,,x,FES,Genève,,Genève,GE,CH,www.festivalagape.org,,x,,a,1992-,,,,,3 R <Sammelcouvert>,"(1996), (2002)"
EFES_155,Festival Amadeus,,,?,FES,Meinier,,Genève,GE,CH,www.meinier.ch,,x,,a,1999-,,,,,1 C,1999-
EFES_156,Festival Antigel,,,?,FES,Genève,,Genève: Festival Antigel,GE,CH,www.antigel.ch,,x,,a,2011-,,,,,1 C,(2015)-
EFES_157,Festival Archipel,,festival des musiques d'aujourd'hui,?,FES,Genève,,Genève: Festival Archipel,GE,CH,www.archipel.org,,x,,a,?,,,,,1 C,(1993)-
EFES_158,Festival Assemblages,,,?,FES,Troinex,,Genève,GE,CH,https://assemblages.ch,,x,,a,2010-,,,,,x,x
EFES_159,Festival de Bouche à Oreille,,,?,FES,Genève,,Genève:  Théâtre Spirale,GE,CH,www.deboucheaoreille.org,,x,,a,1987?-,,,,,1 R <Sammelcouvert>,(2006)-(2006)
EFES_160,Festival d'Ateliers-Théâtre,,,?,FES,Genève,,Genève,GE,CH,www.festival-ateliers-theatre.ch,,x,,a,1998-,,,,,1 C,(2015)-(2015)
EFES_161,Festival du rire,,,?,FES VOK,Genève,,Genève,GE,CH,www.rire-geneve.ch,,x,,a,2015-,,,,,1 C,(2014)-
EFES_162,Festival International de Flamenco,,,?,FES STT,Genève,,Genève,GE,CH,x,,x,,a,?,,,,,1 C,-2015
EFES_163,Festival international de spectacle pour jeune public,,,x,FES STK,Genève,,Genève,GE,CH,x,,x,,na,1979-1983?,,,,,x,x
EFES_164,Festival Les Créatives,,,Festival Les Créatives,FES,Genève,,Genève,GE,CH,www.lescreatives.ch,,x,,a,,,,,,1 R <Sammelcouvert>,(2016)-
EFES_165,Festival Les Singulières,,,?,FES,Genève,,Genève: Théâtre de Poche,GE,CH,x,,x,,a,?,,,,,x,x
EFES_166,Festival musiques et sciences,,,?,FES,Genève,,Genève,GE,CH,www.hesge.ch/geneve/.../festival-musiques-et-sciences,,x,,a,2012-,,,,,1 C,"2012, 2014, "
EFES_167,Festival Poussière du Monde,,,?,FES,Lancy (Grand-Lancy),,Genève,GE,CH,www.pannalal.ch,,x,,a,,,,,,1 R <Sammelcouvert>,(2015)-(2015)
EFES_168,Fête de la musique Genève,,,?,FES,Genève,,Genève,GE,CH,x,,x,,a,?,,,,,1 C,"2001, 2002, 2005"
EFES_169,Fête du Théâtre,,,?,FES,Genève,,Genève,GE,CH,www.fetedutheatre.ch,,x,,a,2012-,,,,,1 C,(2014)-
EFES_170,Fêtes de Genève,,,x,FES,Genève,,Genève,GE,CH,x,,x,,na,?,,,,,1 C,"1956, 1958, 1996"
EFES_171,Fous Rires Festival,,,x,FES VOK,Genève,,Genève (siehe auch Genève: Casino-Théâtre),GE,CH,x,,x,,na,1996-?,,,,,1 C,1996-(1998)
EFES_172,Geneva Burlesque Festival,,,x,FES,Genève,,Genève,GE,CH,www.genevaburlesquefestival.com,,x,,a,2015-,,,,,1 R <Sammelcouvert>,(2014)-(2014)
EFES_173,Gratte-Bitume,,Festival des Arts de la rue,?,FES,Genève,,Genève,GE,CH,www.gratte-bitume.com,,x,,a,2010-,,,,,1 C,"2010, 2014"
EFES_174,Informal European Theatre Meeting,IETM,,x,FES,Genève,,Genève,GE,CH,x,,x,,na,1992,,,,,1 C,1992
EFES_175,La Bâtie,Festival de la Bâtie,Festival de Genève,La Bâtie,FES,Genève,,Genève,GE,CH,https://batie.ch,,Corodis,,a,1977-,Festival du Bois de la Bâtie,,,,3 S,(1978)-
EFES_176,Le Festival International des Jeunes Improvisateurs ,FIJI; Les Improfolies,,x,FES ATV,Genève,,Genève: Fédération d'improvisation genevoise,GE,CH,www.impro-geneve.ch,,x,,a,?,,,,,x,x
EFES_177,Mai au Parc,,Festival,?,FES,Lancy (Grand-Lancy),,Genève,GE,CH,www.maiauparc.ch,,x,,a,1997-,,,,,2 R <Sammelcouvert>,"(2002), (2015)"
EFES_178,Out of the Box,,Biennale des Arts inclusifs,Out of the Box,FES,Genève,,Genève,GE,CH,www.biennaleoutofthebox.ch,,x,,a,2015?-,,,,,1 R <Sammelcouvert>,2015
EFES_179,Rencontres Internationales d'Ecoles du Théâtre,,,x,FES,Genève,,Genève,GE,CH,x,,x,,na,1992,,,,,1 C,1992
EFES_180,Rencontres Internationales de Genève,,,x,FES,Genève,,Genève,GE,CH,x,,x,,na,?,,,,,1 C,"1950, 1951, 1954, 1957, 1959"
EFES_181,Voix de Fête,,,?,FES,<wechselnde Orte>,,Genève,GE,CH,www.voixdefete.com,,x,,a,2016-,,,,,1 C,2016-
EFES_182,Internationale Opernwerkstatt Schloss Werdenberg,,,?,x,Grabs (Werdenberg),,Buchs-Werdenberg (SG): Schloss Werdenberg,SG,CH,x,,x,,a,?,,,,,1 C <Sammelcouvert>,x
EFES_183,Schlossmediale Werdenberg,,,?,FES,Grabs (Werdenberg),,Buchs-Werdenberg (SG): Schloss Werdenberg,SG,CH,www.schlossmediale.ch,,x,,a,2012-,,,,,1 C <Sammelcouvert>,x
EFES_184,Festival de rire et de rêves,,,?,FES,Grandson,,Grandson,NE,CH,www.lacourdutheatre.ch/festival-du-rire-et-du-reve-grandson,,x,,a,2015?-,,,,,1 R <Sammelcouvert>,(2015)-
EFES_185,Comedy Night Grindelwald,Just Smile Comedy Night Grindelwald,,,FES VOK,Grindelwald,,Grindelwald,BE,CH,www.just-smile-grindelwald.ch,,KTV,,a,?,,,,,2 R <Sammelcouvert>,"(2010), 2012"
EFES_186,Internationale Musikwoche Grenchen,,,?,FES,Grenchen,,Grenchen,SO,CH,x,,x,,a,(noch existent?),,,,,13 R <Sammelcouvert>,"(2001), 2005"
EFES_187,Alpengala Gstaad,,,x,FES,Gstaad,,Gstaad <siehe auch Gstaad: Menuhin Festival auc,BE,CH,x,,x,,na,,,Musiksommer Gstaad <keine Ablage unter diesem Namen>,,,1 C ,1987-(2003)
EFES_188,Menuhin Festival Gstaad,,,Menuhin Festival Gstaad,FES,Gstaad,,Gstaad <siehe auch: Gstaad: Alpengala>,BE,CH,www.gstaadmenuhinfestival.ch,,x,,a,1957-,,,,,1 C,(1984)-
EFES_189,Musikskommer Gstaad,,,x,FES,Gstaad,,Gstaad: Alpengala,BE,CH,x,,x,,na,?,,,,,x,x
