ID_NR_Event,Name_Event,Name_Event_Alias,Attribute_Byline_Description,Veranstalter,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFES_402,Winterthurer Theater-Mai,,,x,FES,Winterthur,,"Winterthur: Winterthurer Theater-Mai, wenn Grundsätzliches. Mehrere Aufführungen oder ausländische Gastspiele, Verweiskopie in Stammort des einzelnen Schweizer Theaters, wenn nur 1-2 Aufführungen)",ZH,CH,x,,x,,na,1980-?,,,,,1 S,1980-(1988)
EFES_403,Winterthurer Theaterfrühling,,,?,FES,Winterthur,,Winterthur,ZH,CH,www.https://stadt.winterthur.ch,,x,,a,1988?,Theater-März,,,,1 C,"(1989), 1992, 1994, 1997, 2001, 2003, 2014, 2015"
EFES_404,Jeux du Castrum,,festival de rue,Jeux du Castrum,FES,Yverdon,,Yverdon: Théâtre du Castrum,VD,CH,www.jeuxducastrum.ch,,x,,a,1982-,Théâtre du Castrum,,,,1 C,"1982, 1985-1987, 1997, 2014"
EFES_405,Heitere Comedy Open Air,,,?,FES,Zofingen,,Zofingen,AG,CH,x,,x,,na,2004-2012?,,,,,1 C,"2004, 2006, 2007, 2009, 2010, 2011, 2012"
EFES_406,Moonlight Festival Openair Zofingen,Moonlight Classics,Die grosse Gala der Klassik,Moonlight Festival Openair Zofingen,FES,Zofingen,,Zofingen,AG,CH,www.moonlightfestival.ch,,x,,a,2007- (Moonlight Festival Openair),Classic Open Air,,,,1 C,"(1995), 1997-1998 <Classic Open Air), 2010- (Moonlight)"
EFES_407,Breakthrough International Breakdance Festival,,,?,FES STT,Zürich,,Zürich,ZH,CH,www.breakthrough-dance.ch,,x,,a,?,,,,,1 R <Sammelcouvert>,(2013)-(2013)
EFES_408,Die urbane Geschichtenoase,,Erzählkultur im Grünen ; Palmenaus,?,FES,Zürich,,Zürich,ZH,CH,www.geschichtenoase.ch,,x,,a,2012-,,,,,1 R <Sammelcouvert>,(2015)-(2015)
EFES_409,Doing Glamour,,,x,FES,Zürich,,Zürich,ZH,CH,www.doingglamour.com,,x,,na,?,,,,,1 C,(2004)-(2004)
EFES_410,Dunkelschön Art-Perfromance-Festival,,,Rote Fabrik,FES,Zürich,,Zürich: Rote Fabrik,ZH,CH,x,,x,,a,?,,,,,x,x
EFES_411,E-motions,,Tanzfestival,x,FES STT,Zürich,,Zürich,ZH,CH,x,,x,,na,1991 (1. Augabe)-1996 (2. Ausgabe)?,,,,,1 C,"1991, 1996"
EFES_412,Festival am See,,,x,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,x,x
EFES_413,Festival der Künste,,ZHDK,Zürcher Hochschule der Künste (ZHdK),FES,Zürich,,Zürich,ZH,CH,x,,x,,a,?,,,,,x,x
EFES_414,Festspiele Zürich,Zürcher Festspiele,,Festspiele Zürich <verschiedene Zürcher Kulturinstitutionen>,FES,Zürich,,Zürich: Zürcher Festspiele,ZH,CH,www.festspiele-zuerich.ch,,x,,a,1996-,"<bis 2012:> Zürcher, <früher:) Juni-Festwochen Zürich",,,,2 S,(1997)-
EFES_415,Forum Tanz,,reso; Danse Suisse; Pro Helvetia,Reso Tanznetzwerk Schweiz ; Pro Helvetia,FES STT,Zürich,,Institutionen: Forum Tanz,ZH,CH,www.forumtanz.ch,,x,,a,2013?-,,,,,x,x
EFES_416,Freischwimmer Festival,,,?,FES TFS,Zürich,,Zürich: Gessnerallee,ZH ,CH,www.freischwimmer-festival.com,,x,,a,?,,,,,x,x
EFES_417,Gipfelstürmer Festival,,,x,FES,Zürich,,Zürich: Gessnerallee,ZH ,CH,x,,x,,na,1994-2011,,,,,x,x
EFES_418,Hochspannung - Tanz im November,,,Tanzhaus Wasserwerk <1. Ausgabe>,STT,Zürich,,Zürich,ZH,CH,x,,x,,na,1998-?,,,,,1 C,1998
EFES_419,Hope & Glory Festival der jungen Talente,,,x,FES,Zürich,,Zürich <1998 siehe unter Gessnerallee bzw. Theater Neumarkt>,ZH,CH,x,,x,,na,1998-2003 oder 2004,,,,,1 C,(1999)-2004
EFES_420,Internationales Puppentheater-Festival Zürich,,,x,FES STP,Zürich,,Zürich <ab 1984 siehe: Zürcher Puppentheater>,ZH,CH,x,,x,,na,"1981, 1984, 1988",,,,,1 C,1981
EFES_421,Internationales Theatersportfestival Zürich,,,Internationales Theatersportfestival,FES,Zürich,,Zürich: Eidgenössisches Improvisationstheater,ZH,CH,www.theatersportfestival.ch,,x,,a,?,,,,,x,x
EFES_422,Juni-Festwochen Zürich,,,x,FES,Zürich,,"Zürich, Juni-Festwochen (wenn Grundsätzliches, mehrere Aufführungen u. Veranstaltungen ausserhalb der üblichen Spielstätten), Stammort einz. Schweizer Theater (in allen anderen Fällen)",ZH,CH,x,,x,,na,1921-1993,,Zürcher Festspiele,,,2 S,"(1925), 1938-1993"
EFES_423,Keine Disziplin,,Internationales Festival,Gessnerallee,FES TFS,Zürich,,Zürich: Gessnerallee,ZH,CH,www.gessnerallee.ch,,x,,a,?,,,,,x,x
EFES_424,Kinder- und Jugendtheater 86,,,x,FES STK,Zürich,,Zürich,ZH,CH,x,,x,,na,1986,,,,,1 C,1986
EFES_425,Laban-Tanzfest,,4. Europäisches Laban-Tanzfest,x,FES STT,Zürich,,Zürich,ZH,CH,x,,x,,na,1997,,,,,1 C,1997
EFES_426,Laugh up! Stand Up!,,,,FES VOK,Zürich,,Zürich,ZH,CH,www.laughupstandup.ch,,x,,a,2015-,,,,,1 C,2015
EFES_427,Miller’s Spektakuli,Spektatkuli,Internationales Kabarettfestival,Miller's Studio,FES VOK,Zürich,,Zürich: Miller's Studio),ZH,CH,www.millers-studio.ch,,x,,a,2015-,,,,,x,x
EFES_428,Okkupation,,Internationales Theaterfestiva l; Rote Fabrik,x,FES TFS,Zürich,,Zürich: Theater Hora (ZSV),ZH,CH,x,,x,,na,?,,,,,x,x
