Bemerkungen,Drucker,Grafiker,Masse,Plakatart,RepertorienID,Signatur,Technik,tempID,Verso
Deutschsprachige Erstaufführung,,,42.0 x 29.7 cm,Stückplakat,300022004051101,PL 001.247,Bubblejet/ Farbkopie,54,
,,,42.0 x 29.7 cm,Stückplakat,300022006050901,PL 001.248,Bubblejet/ Farbkopie,55,
Uraufführung,,,42.0 x 29.7 cm,Stückplakat,300022003030401,PL 001.249,Bubblejet/ Farbkopie,56,
,,,42.0 x 29.7 cm,Stückplakat,300022003040401,PL 001.250,Bubblejet/ Farbkopie,57,
Schweizer Erstaufführung,,,42.0 x 29.7 cm,Stückplakat,300022003101701,PL 001.251,Bubblejet/ Farbkopie,58,
,,,42.0 x 29.7 cm,Stückplakat,300022006022101,PL 001.252,Bubblejet/ Farbkopie,59,
,,,42.0 x 29.7 cm,Stückplakat,300022002121401,PL 001.253,Bubblejet/ Farbkopie,60,
Gastspiel,,,42.0 x 29.7 cm,Stückplakat,300022003051301,PL 001.254,Bubblejet/ Farbkopie,61,
,,,42.0 x 29.7 cm,Stückplakat,300022004120701,PL 001.255,Bubblejet/ Farbkopie,62,
,,,42.0 x 29.7 cm,Stückplakat,300022006040501,PL 001.256,Bubblejet/ Farbkopie,63,
Schweizer Erstaufführung,,,42.0 x 29.7 cm,Stückplakat,300022004110201,PL 001.257,Bubblejet/ Farbkopie,64,
,,,42.0 x 29.7 cm,Stückplakat,300022004092801,PL 001.258,Bubblejet/ Farbkopie,65,
Schweizer Erstaufführung,,,42.0 x 29.7 cm,Stückplakat,300022006060701,PL 001.259,Bubblejet/ Farbkopie,66,
,,,42.0 x 29.7 cm,Stückplakat,300022005060701,PL 001.260,Bubblejet/ Farbkopie,67,
,,,42.0 x 29.7 cm,Stückplakat,300022004090101,PL 001.261,Bubblejet/ Farbkopie,68,
,,,42.0 x 29.7 cm,Stückplakat,300022005040501,PL 001.262,Bubblejet/ Farbkopie,69,
Schweizer Erstaufführung,,,42.0 x 29.7 cm,Stückplakat,300022005051001,PL 001.263,Bubblejet/ Farbkopie,70,
,,,42.0 x 29.7 cm,Stückplakat,300022005011801,PL 001.264,Bubblejet/ Farbkopie,71,
,,,42.0 x 29.7 cm,Stückplakat,300022005021901,PL 001.265,Bubblejet/ Farbkopie,72,
,,,42.0 x 29.7 cm,Stückplakat,300022002040401,PL 001.266,Bubblejet/ Farbkopie,73,
[Winterthur: SidiTheater (+Tournée)],,,42.0 x 29.7 cm,Stückplakat,840021999022601,PL 001.271,Offsetdruck,74,
,Closson,Valère Novarina,"42.0 x 29,7 cm",Stückplakat,100062003040801,PL 001.278,Offsetdruck,75,
Programm auf der Rückseite,,dkunzi,42.0 x 29.7 cm,Stückplakat,120062002110501,PL 001.285,Offsetdruck,76,
Blancodruck,,,45.5 x 30.0 cm,Stückplakat,230011972112801,PL 001.291,Offsetdruck,77,
,"Cassina SA, Chaux-de-Fonds",,45.0 x 32.5 cm,Stückplakat,230011975051301,PL 001.292,Offsetdruck,78,
Programm auf der Rückseite,,,42.0 x 29.7 cm,Stückplakat,120062002041601,PL 001.294,Offsetdruck,79,
,Coprint,Tortilok,42.0 x 29.7 cm,Stückplakat,120052002041601,PL 001.295,Offsetdruck,80,
,,Pet Halmen,42.0 x 29.7 cm,Stückplakat,100012007012101,PL 001.315,Offsetdruck,81,
[1D] Prod. Truppe: Co-prod: F - Théâtre du Capitole de Toulouse; Opéra de Vichy; D - Deutsche Oper am Rhein Düsseldorf-Duisburg,,Pet Halmen,42.0 x 29.7 cm,Stückplakat,100012006092201,PL 001.317,Offsetdruck,82,
[1D],Ackermann Druck,Stephan Bundi,42.0 x 29.7 cm,Stückplakat,300022005011801,PL 001.330,Offsetdruck,83,
,,,59.5 x 32.5 cm,Stückplakat; Spielplanplakat,400021953122601,PL 002.003,Offsetdruck,84,
,Imp. Sérigraphie Logos,,48.0 x 32.0 cm,Stückplakat,120031983020801,PL 002.033,Siebdruck,85,
,,Eugen Bachmann-Geiser,42.0 x 29.7 cm,Stückplakat,800021991020901,PL 002.037,Bubblejet/ Farbkopie,86,
Uraufführung,Mastra-Druck AG,Eugen Bachmann-Geiser,42.0 x 29.7 cm,Stückplakat,800021991112201,PL 002.043,Offsetdruck,87,
,,Marc Boss,41.4 x 32.0 cm,Stückplakat,300071974032101,PL 002.044,Offsetdruck,88,
,Verbandsdruckerei AG Bern,Heinz Jost,46.5 x 31.2 cm,Stückplakat,300031976100501,PL 002.047,Offsetdruck,89,
,"Tagesanzeiger, Zürich",Eugen Bachmann-Geiser,29.7 x 42.0 cm,Stückplakat,800021991092401,PL 002.055,Offsetdruck,90,
[1D],,,44.0 x 30.4 cm,Konzertplakat,300031976030901,PL 002.060,Offsetdruck,91,
,,Claus Knézy,44.0 x 31.5 cm,Stückplakat,800051974080901,PL 002.065,Offsetdruck,92,
,,,42.0 x 29.7 cm,Stückplakat,800051976031001,PL 002.066,Offsetdruck,93,
,,,33.0 x 46.7 cm,Stückplakat,100021988092701,PL 002.087,Siebdruck,94,
,,,33.0 x 46.7 cm,Stückplakat,100021989011701,PL 002.088,Siebdruck,95,
,,,446.6 x 33.0 cm,Stückplakat,100021988112201,PL 002.089,Siebdruck,96,
,,,46.7 x 33.0 cm,Stückplakat,100021989030201,PL 002.090,Siebdruck,97,
,,,42.5 x 34.0 cm,Stückplakat,300071985083101,PL 002.108,Offsetdruck,98,
Uraufführung,Mastra-Druck AG,Zeichnungen: Birgit Angele/ Grafik: Eugen Bachmann-Geiser,42.0 x 29.7 cm,Stückplakat,800021992030801,PL 002.119,Offsetdruck,99,
,Mastra-Druck AG,Eugen Bachmann-Geiser,42.0 x 29.8 cm,Stückplakat,800021991112201,PL 002.122,Offsetdruck,100,
,Mastra-Druck AG,Eugen Bachmann-Geiser,42.0 x 29.7 cm,Stückplakat,800021991092801,PL 002.123,Offsetdruck,101,
Wiederaufnahme am 21.9.1991,Mastra-Druck AG,Eugen Bachmann-Geiser,42.0 x 29.8 cm,Stückplakat,800021991062201,PL 002.124,Offsetdruck,102,
,Mastra-Druck AG,Eugen Bachmann-Geiser,42.0 x 29.5 cm,Stückplakat,800021992051901,PL 002.125,Offsetdruck,103,
,"Imprimerie André Groux, Lausanne",Isabelle Guignard,50.3 x 35.6 cm,Stückplakat,100021987031701,PL 002.129,Offsetdruck,104,
[D1],,,50.0 x 35.0,Stückplakat,300031982021501,PL 002.131,Offsetdruck,105,
,A.Groux Lausanne,,50.0 x 35.5 cm,Stückplakat,100021987120101,PL 002.139,Offsetdruck,106,Genève
,"Imprimerie André Groux, Lausanne",,50.2 x 35.5 cm,Stückplakat,100021986120201,PL 002.169,Offsetdruck,107,
Prod. Truppe. Bern: Heidi Bühne-Bern,,,49.2 x 33.8 cm,Stückplakat,300011959103101,PL 002.171,Buchdruck,108,
,,GRIMM / Heinz Jost,"50,0 x 35.0 cm",Stückplakat,300011981101603,PL 002.180,Offsetdruck,109,
,Der Bund,GRIMM / Heinz Jost,50.0 x 35.0,Stückplakat,300011981091801,PL 002.181,Offsetdruck,110,
