ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_22297,Theater 49,,,"Bächler, Doris ; Koelliker, Werner ; Sommerhalder, René ; Grasshoff, Alexander",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,1949
AC_22298,Theater 58,,,"Revelly, André",Zürich <früher: Luzern>,,Zürich,ZH,CH,www.theater58.ch,,x,,a,1958-,,,,,2 S,(1957)-
AC_22299,Theater adhoc,,,"Russius, Klaus Henner ; Joël, Aviva ; Weisse, Nikola ; Pecoraio, Domenico ; Mäder, Marie-Thérèse",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1999)-
AC_22300,Theater Adjeundfurt,,,"Novak, Dieter ; Röllin, Angelo",Zürich,,Zürich (ZSV),ZH,CH,x,,KTV,,a,?,,,,,,
AC_22301,Theater am Rande,,,"Held Hrdina, Lubosch u.a.",Zürich,,Zürich,ZH,CH,x,,x,,a,(noch existent?),,,,,1 C,(1993)-(2005)
AC_22302,Theater am Strom ,,,"Luxinger, Marcel",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1999)-(1999)
AC_22303,theater anundpfirsich,,Improvisationstheater,"Anderegg, Matthias ; Hégelé, Niggi ; Renold, Frank ; Schwegler, Simone +Weber, Gerald",Zürich,,Zürich: theater anundpfirsich,ZH,CH,www.pfirsi.ch,,KTV,,a,2005-,,,,,1 C,"(2006), (2010), (2015)"
AC_22304,Theater Ballistic,,,?,Zürich,,Zürich,ZH,CH,x,,x,,a,?,,,,,x,x
AC_22305,Theater Blau,,,"Brix, Antonia ; Griesenberg, Julius ; Koch, Cornelia",Zürich,,Zürich,ZH,CH,www.theaterblau.ch,,x,,a,?,,,,,1 C,"(1997), 2015-"
AC_22306,Theater Bruchstein,,,"Rinderknecht, Christine ; Gubler, Heinz",Zürich,,Zürich,ZH,CH,x,,x,,na,1989-2001,,GUB Company,,,1 C,"(1991)- (1997), Verweis-PA 2001"
AC_22307,Theater Coprinus,,,"Arnold, Joseph J. ; Nonhoff, Margret ; Kasztura, Daniel ; Spühler, Hans-Rudolf ; Müller, Hanspeter ; Tondeur, Nicole ; Lüscher, Kaspar ; Krone, Kristian ; Zwinggi, Christian",Zürich,,Zürich: Theater Coprinus,ZH,CH,x,,x,,na,"1981-1995, 1997",,,,,1 S,(1982)-(1997)           
AC_22308,Theater Dampf,,,"Koller, Rico ; Stehli, Barbara ; Locatelli, Marc",Grüningen,,Zürich: Theater Dampf,ZH,CH,www.theaterdampf.ch,,x,,a,2003-,,,,,1 C,"(2005), (2009)"
AC_22309,Theater der Kleinen,,,x,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1935)-(1946)
AC_22310,Theater Dramödie,,,"Kocher, Bruno",Zürich,,Zürich: Theater Dramödie,ZH,CH,x,,x,,a,?,,,,,x,x
AC_22311,Theater Eidolon,,,"Ilg, Els",Zürich,,Zürich,ZH,CH,x,,x,,na,1984-?,,,,,1 C,(1986)-(1986)
AC_22312,Theater Fägnäscht ,,,"Gisler, Karin Bettina ; Kaufmann, Patrik",Zürich,,Zürich: Theater Fägnäscht ,ZH,CH,x,,x,,na,?,,,,,1 C,(1991)-(1995)
AC_22313,Theater für klassische Bühnenkunst,,,"Meier-Babkina, Ludmilla",Zürich,,Zürich,ZH,CH,www.theater-studio.ch,,KTV,,a,2002-,,,,,1 C,"(2007), 2010-"
AC_22314,Theater Gomez-Müller,Ensemble Gomez-Müller,,"Navarrete, Marina ; Peter, Marcel",Zürich,,Zürich: Theater Gomez-Müller,ZH,CH,www.gomez-mueller.ch,,KTV,,a,1995-,,,,,1 C,"(1997)-2008), 2012"
AC_22315,Theater Halbe Miete,,,"Witte, Nicolas ; Pichler, Gerhard ; Schaetti, Léon",Zürich,,Zürich,ZH,CH,x,,x,,a,?,,,,,2 R <Sammelcouvert>,"(2007), (2008)"
AC_22316,Theater Hora,,Züriwerk; inkl. Hora'Band,"Elber, Michael",Zürich,,Zürich (ZSV),ZH,CH,www.hora.ch,,KTV,,a,1993-,,,,,,
AC_22317,Theater im langen Raum,,,?,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1993)-(1994)
AC_22318,Theater im Seefeld,,,"Keiser, Lorenz",Zürich,,"Keiser, Lorenz",ZH,CH,www.theaterimseefeld.ch,,x,,a,?,,,,,,
AC_22319,Theater im Sinn,,,"Frotzler, Gabi ; Gujer, Elisabeth",Zürich,,Zürich,ZH,CH,x,,x,,a,?,,,,,1 R <Sammelcouvert>,(2007)-(2007)
AC_22320,Theater K,,,"Meyke, Rüdiger ; Bös, Gerhard ; Rossi, Graziella ; Kloske, Gabriele ; Golay, Edith ; Gärtner, Beat ; Müller, Heinz ; Togni, Andrej ; Majowski, Markus",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,1989
AC_22321,Theater Klappsitz,,,"Dost, Roswitha ; Rumpf, Bernd",Zürich <früher: Wila>,,Zürich: Theater Klappsitz <früheres siehe: Wila>,ZH,CH,,,x,,a,1985-,,,,,1 C (Zürich) und 2 C (Wila),"(2002)-2011, (2015)- (Zürich) und 1985-2000 (Wila)"
AC_22322,Theater Knotenpunkt,,,"Stadlin, Judith ; Häusermann, Urs ; Zeller, Frau ; Krähenbühl, Agnes u.a.",Zürich,,Zürich: Theater Knotenpunkt,ZH,CH,www.theater-knotenpunkt.ch,,x,,a,1995-,,,,,1 C,"(1997), 2001-(2012)"
AC_22323,Theater Lilith,Lilith Theater,,"Kunz, Susanne ; Joss, Katharina ; Mäder, Marie-Therese",Zürich,,Zürich: Lilith Theater,ZH,CH,x,,x,,a,?,,,,,1 C,(2003)-(2003)
AC_22324,Theater Lilith,,Ratering,"Ratering, Eveline",Zürich,,Zürich,ZH,CH,x,,x,,a,?,,,,,1 C,(2011)-(2011)
AC_22325,Theater Maralam,Maralam Theater,,x,Zürich,,Luzern: Theater Maralam,ZH,CH,www.maralam.net,,x,,a,1984-,,,,,1 C,(1986)-
AC_22326,Theater mFG,,,"Vonder Mühll, Nora ; Mörikofer, Christoph ; Glaus, Julia",Zürich,,Zürich: Theater mFG,ZH,CH,x,,x,,a,2006- (noch existen?),,,,,1 C,2006-(2008)
AC_22327,Theater Namenlos,,,"Keller, Dorothea ; Dahinden, Delia",Zürich,,Zürich,ZH,CH,x,,KTV,,a,(noch existent?),,,,,1 C,(1983)-
AC_22328,Theater Nuri,,,"Leutwiler, Gabriela ; Matti, Christoph",Zürich,,Zürich,ZH,CH,www.theaternuri.ch,,x,,a,?,,,,,1 C,(2009)-(2009)
AC_22329,Theater Paprika edelsüss,,,"Walser, Christoph ; Rieger, Gallus ; Studer, Thomas ; Vondermühll, Nora ; Fleischmann, Monika ; Grüebler, Thomas",Zürich ; Dübendorf,,Zürich: Theater Paprika edelsüss,ZH,CH,x,,x,,a,(noch existent?),,,,,1 C,"(1992)-1996, 1998-1999"
AC_22330,Theater Prompt,,,"Rojas, Diana ; Woodtli, Brigitte",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,2 R <Sammelcouvert>,(2007)-(2007)
AC_22331,theater pur,,,"Gerber, Caroline",Zürich,,Zürich,ZH,CH,www.theater-pur.ch,,x,,a,2010-,,,,,1 R <Sammelcouvert>,(2012)-(2012)
AC_22332,Theater Rebus ,,,"Bohren, Claudia ; Hug, Werner",Zürich,,Zürich: Theater Rebus ,ZH,CH,x,,x,,a,(noch existent?),,,,,1 C,(1994)-(1995)
AC_22333,Theater Pyton,,,"Ribi, Hana",Zürich,,Zürich: Theater Pyton,ZH,CH,x,,x,,na,?,,,,,1 C,"(1991),(1991)"
AC_22334,Theater Röböbs,,,"Grüter, Sibylle ; Ebener, Paul",Rikon,,Zürich:Theater Röböbs,ZH,CH,x,,x,,na,?,,,,,1 C,(2001)-(2007)
AC_22335,Theater Rohrbruch,,,?,Zürich,,Zürich: Theater Rohrbruch,ZH,CH,www.rohrbruch.ch,,x,,a,1995-,,,,,,
AC_22336,Theater Rosalena,Theater Rosa Lena,,"Uebelhart, Esther ; Dahinden, Delia",Zürich,,Zürich: Theater Rosa Lena <siehe auch unter Personalia>,ZH,CH,http://deliadahinden.ch/schauspiel/eigenproduktionen/theater-rosalena/,,x,,a,1991-,,,,,1 C,(1994)-
AC_22337,Theater SEM,,,"Rosati, Susanna ; Straumann, Regula",Zürich,,Zürich: Theater SEM,ZH,CH,www.theatersem.ch,,x,,a,2000-,,,,,1 C,"(2003), 2006, 2008, 2'11, 2013, 2016"
AC_22338,Theater Stockdunkel,,,"Steinmann, Paul ; Lather, Christine ; Amstad, Bruno ; Brun, Albin",Zürich,,Zürich: Theater Stockdunkel?,ZH,CH,www.christinelather.ch/detail/theater-stockdunkel.html,,KTV,,a,2002-,,,,,1 C,(2009)-
AC_22339,Theater Tentakel,TT,,"Krassnigg, Anna Maria",Zürich,,Zürich: Theater Tentakel,ZH,CH,x,,x,,a,(noch existent?),,,,,1 C,(1997)-(2000)
AC_22340,Theater Topoï:log,Theater Topoi.log,,"Zimmermann, Anke u.a.",Zürich,,Zürich,ZH,CH,www.topoilog.ch,,x,,a,2008-,,,,,2 R <Sammelcouvert>,(2013)-(2013)
AC_22341,theater touché,,,"Gerber, Caroline",Zürich,,Zürich: theater touché,ZH,CH,https://theater-touche.ch,,x,,a,2010-,,,,,1 C,"2010, 2015-"
AC_22342,Theater Tritonus,,Musiktheater,"Natsch, Andreas ; Koller, Bernhard ; Wirz, Tanja ; Ueberwasser, Tobias ; Niklaus, Alex ; Wyss, Barbara ; Renggli, Christian ; Bassin, Seraina",Zürich,,Zürich: Theater Tritonus,ZH,CH,http://theater-tritonus.singingsparrows.ch,,x,,a,1992-,,,,,x,x
